split,spk_id
train1,Session1_female
train1,Session1_male
train1,Session2_female
train1,Session2_male
train1,Session3_female
test1,Session1_female
test1,Session1_male
test1,Session2_female
test1,Session2_male
test1,Session3_female
test1,Session3_male
test1,Session4_female
test1,Session4_male
test1,Session5_female
test1,Session5_male
train2,Session3_male
train2,Session4_female
train2,Session4_male
train2,Session5_female
train2,Session5_male
test2,Session1_female
test2,Session1_male
test2,Session2_female
test2,Session2_male
test2,Session3_female
test2,Session3_male
test2,Session4_female
test2,Session4_male
test2,Session5_female
test2,Session5_male
train3,Session1_female
train3,Session1_male
train3,Session2_female
train3,Session3_male
train3,Session4_female
test3,Session1_female
test3,Session1_male
test3,Session2_female
test3,Session2_male
test3,Session3_female
test3,Session3_male
test3,Session4_female
test3,Session4_male
test3,Session5_female
test3,Session5_male
