split,spk_id
train1,EN_11
train1,EN_12
train1,EN_14
train1,EN_17
train1,EN_18
test1,EN_11
test1,EN_12
test1,EN_14
test1,EN_17
test1,EN_18
test1,EN_24
test1,EN_32
test1,EN_33
test1,EN_34
test1,EN_37
test1,EN_38
test1,EN_39
test1,EN_42
test1,EN_49
test1,EN_57
test1,EN_17
train2,EN_17
train2,EN_38
train2,EN_39
train2,EN_42
train2,EN_49
test2,EN_11
test2,EN_12
test2,EN_14
test2,EN_17
test2,EN_18
test2,EN_24
test2,EN_32
test2,EN_33
test2,EN_34
test2,EN_37
test2,EN_38
test2,EN_39
test2,EN_42
test2,EN_49
test2,EN_57
train3,EN_38
train3,EN_39
train3,EN_42
train3,EN_49
train3,EN_57
test3,EN_11
test3,EN_12
test3,EN_14
test3,EN_17
test3,EN_18
test3,EN_24
test3,EN_32
test3,EN_33
test3,EN_34
test3,EN_37
test3,EN_38
test3,EN_39
test3,EN_42
test3,EN_49
test3,EN_57
